,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
54,21,4,18697,6,4,3,4,1,4,1,53,26,0
55,4,4,6213,15,9,4,1,3,4,0,39,39,0
56,46,4,9752,11,8,2,3,0,4,1,39,39,0
57,17,2,26722,9,12,2,4,0,4,1,49,39,1
58,25,5,12465,11,8,2,4,0,4,1,49,39,1
59,16,4,22346,11,8,2,6,0,4,1,39,39,0
60,13,4,5160,9,12,4,4,1,4,0,49,39,0
61,22,4,7096,15,9,0,12,1,4,1,39,39,0
62,9,4,598,12,13,4,4,1,4,0,39,39,0
63,16,4,22978,11,8,4,7,3,4,0,39,39,0
64,30,2,12584,11,8,0,1,1,4,0,39,39,0
65,24,4,6118,9,12,4,8,1,4,0,39,0,0
66,24,5,27695,7,11,2,3,0,4,1,59,39,1
67,2,4,5622,15,9,4,8,3,4,1,19,39,0
68,29,4,12419,11,8,5,14,1,4,1,39,39,0
69,26,4,5321,11,8,2,12,0,4,1,47,39,0
70,38,4,24879,15,9,2,4,0,4,1,44,39,1
71,29,4,13126,8,10,2,13,0,4,1,39,39,0
72,13,4,19585,11,8,2,7,0,4,1,39,26,0
73,4,4,26866,15,9,5,6,1,4,0,39,39,0
74,29,4,22300,15,9,2,3,0,3,1,39,6,0
75,0,0,11786,0,5,4,0,3,4,1,39,39,0
76,24,4,3318,11,8,2,7,0,4,1,49,39,0
77,52,5,12938,11,8,2,12,0,4,1,29,39,0
78,33,4,24421,11,8,2,14,0,4,1,39,39,0
79,3,4,3163,15,9,4,1,1,4,0,39,39,0
80,28,5,2901,15,9,2,7,0,4,1,49,39,0
81,6,4,18169,9,12,4,4,1,4,1,39,39,0
82,7,4,3781,15,9,5,8,1,4,1,39,39,0
83,27,5,19076,11,8,2,3,0,4,1,49,0,1
84,14,6,6555,15,9,2,3,0,4,1,49,39,0
85,26,4,12438,11,8,5,7,1,4,0,43,39,0
86,3,1,20775,1,6,4,8,3,4,0,9,39,0
87,38,4,11231,11,8,2,12,0,4,1,55,39,1
88,7,1,19516,15,9,4,2,1,4,1,39,39,0
89,24,0,1253,12,13,2,0,5,4,0,9,39,1
90,42,4,23561,9,12,4,4,1,4,0,24,39,0
91,32,1,3458,5,3,4,8,1,2,1,19,39,0
92,16,4,13260,12,13,2,10,5,4,0,9,39,1
93,42,1,4929,9,12,0,1,1,4,1,39,39,0
94,17,4,16443,12,13,4,8,1,0,1,39,39,0
95,3,4,27958,11,8,4,6,3,4,1,39,39,0
96,8,4,20041,9,12,4,4,3,4,0,39,39,0
97,32,4,11721,0,5,2,5,0,4,1,39,39,0
98,42,4,22480,11,8,2,14,0,4,1,39,39,1
99,3,4,12322,11,8,4,1,1,4,0,39,39,0
100,34,0,15183,15,9,2,0,5,4,0,17,39,0
101,16,4,16912,15,9,4,1,4,2,0,34,39,0
102,5,4,18013,15,9,4,14,3,2,1,38,39,0
103,41,6,23937,6,4,6,8,1,4,0,39,39,0
104,35,2,10669,11,8,6,1,4,4,0,27,39,0
105,19,4,3363,0,5,5,7,1,4,0,39,39,0
106,24,2,16819,11,8,2,11,0,4,1,39,39,0
107,11,4,10572,11,8,4,14,3,4,1,39,39,0
108,2,4,23379,15,9,4,6,3,2,1,15,39,0
109,1,4,18530,11,8,4,8,1,4,0,27,39,0
110,1,4,13640,11,8,4,7,3,4,0,47,39,0
111,11,4,10102,15,9,2,3,0,4,1,39,39,0
112,12,4,25352,8,10,2,4,0,4,1,39,39,1
113,3,0,564,11,8,4,0,3,4,0,19,39,0
114,23,4,5417,15,9,2,6,0,4,1,39,39,0
115,9,4,17428,11,8,4,6,4,4,1,39,39,0
116,29,4,4724,11,8,2,3,0,4,1,39,39,0
117,6,4,16747,1,6,4,8,1,4,0,23,39,0
118,27,4,13764,11,8,3,1,4,4,0,39,39,0
119,26,4,13748,9,12,0,12,4,4,0,39,39,1
120,14,2,16447,9,12,0,10,4,4,0,59,39,0
121,1,4,18679,15,9,4,12,3,4,0,24,39,0
122,2,4,21036,15,9,4,11,3,4,1,29,39,0
123,24,4,6219,15,9,0,13,1,4,0,39,39,0
124,24,4,13900,11,8,0,6,4,4,0,39,39,0
125,52,4,14318,11,8,0,1,1,4,0,24,39,0
126,31,1,1524,10,15,2,10,5,4,0,39,39,1
127,11,4,8668,11,8,4,10,3,4,1,39,39,0
128,10,6,6743,11,8,2,3,0,4,1,59,21,1
129,24,4,20372,12,13,2,10,0,4,1,49,39,1
130,24,4,27522,15,9,2,1,0,4,1,39,39,0
131,7,4,20980,11,8,4,3,4,2,0,39,39,0
132,3,0,25217,11,8,4,0,1,4,0,39,39,0
133,25,5,5120,10,15,2,10,0,4,1,40,39,1
134,40,4,20757,11,8,2,3,0,2,1,47,39,0
135,13,4,9440,7,11,4,10,1,4,0,39,39,0
136,19,4,14182,11,8,2,12,0,4,1,59,39,1
137,32,4,12510,5,3,2,7,0,2,1,39,39,0
138,16,4,9703,11,8,2,7,5,4,0,34,39,0
139,6,4,24156,0,5,2,5,0,4,1,39,39,0
140,29,4,3826,12,13,2,10,0,4,1,39,39,0
141,1,4,21864,15,9,4,1,3,1,0,21,11,0
142,23,4,10737,11,8,2,4,0,4,1,54,39,1
143,26,5,18235,11,8,2,4,0,4,1,44,39,1
144,17,4,11083,12,13,4,10,3,4,0,29,39,0
145,30,6,13030,11,8,6,4,1,4,0,29,39,0
146,27,4,235,8,10,6,4,4,4,0,29,39,0
147,16,4,13461,11,8,2,12,0,4,1,39,39,1
148,38,4,7742,9,12,2,4,0,4,1,49,39,1
149,2,4,27807,11,8,4,12,1,4,1,29,39,0
150,11,4,18436,15,9,4,8,1,2,1,13,39,0
151,10,4,18891,1,6,2,8,5,2,0,31,39,0
152,33,4,6639,5,3,2,7,0,4,1,19,39,0
153,5,4,24550,1,6,4,3,4,4,1,39,39,0
154,23,7,2956,9,12,2,1,0,4,1,44,39,1
155,8,4,7867,15,9,4,1,3,4,0,39,39,0
156,9,2,5277,11,8,4,3,1,4,1,39,39,0
157,5,4,28186,9,12,4,12,1,4,1,24,39,0
158,25,4,6550,15,9,4,6,4,2,0,39,39,0
159,21,5,4439,9,12,0,4,1,4,1,39,39,0
160,38,4,1527,1,6,2,8,0,4,1,29,39,0
161,15,4,8841,11,8,2,12,0,4,1,39,39,0
162,5,4,26865,11,8,2,3,0,4,1,44,39,0
163,12,4,9364,9,12,4,12,3,4,1,39,39,0
164,29,7,2422,12,13,2,4,0,4,1,44,39,1
165,14,4,10781,15,9,2,4,0,4,1,39,39,1
166,41,6,11057,10,15,2,10,0,4,1,15,39,1
167,25,4,15347,11,8,2,3,0,4,1,44,39,0
168,1,4,1471,11,8,4,6,4,4,1,24,39,0
169,41,2,8876,11,8,0,4,1,4,1,32,39,0
170,37,4,20113,11,8,2,10,0,4,1,39,39,1
171,17,4,15182,12,13,4,10,1,4,1,39,39,0
172,9,4,20416,9,12,4,1,1,4,0,39,39,0
173,44,4,49,2,7,2,4,0,4,1,59,39,0
174,31,2,2918,12,13,5,1,4,2,0,39,39,0
175,19,4,20134,15,9,2,4,0,4,1,44,39,1
176,7,4,24940,8,10,2,7,0,4,1,44,39,0
177,23,4,3795,15,9,2,7,0,4,1,36,39,0
178,16,5,10570,11,8,2,12,0,4,1,49,39,1
179,20,4,20992,15,9,2,7,0,4,1,39,39,1
180,17,4,16420,12,13,4,4,3,4,1,39,39,0
181,39,5,24792,15,9,2,4,0,4,1,39,39,1
182,11,0,12180,11,8,2,0,3,4,0,37,39,1
183,20,4,17013,9,12,6,4,1,4,0,54,39,0
184,27,4,23154,11,8,0,12,4,2,0,39,39,0
185,47,0,16800,15,9,2,0,0,4,1,7,39,0
186,37,4,2572,11,8,0,6,1,4,1,44,39,0
187,6,4,2141,11,8,4,7,1,4,1,49,39,0
188,17,7,28123,9,12,3,5,1,2,1,39,0,0
189,5,4,16518,11,8,4,8,1,4,0,44,39,0
190,16,4,16110,9,12,2,4,0,4,1,39,39,1
191,22,4,11528,9,12,5,10,1,4,1,49,39,1
192,30,4,27283,15,9,0,1,1,2,0,36,39,0
193,62,0,1852,5,3,6,0,1,4,1,39,39,0
194,9,4,17714,11,8,4,10,4,2,0,54,39,0
195,14,4,2431,15,9,0,4,4,4,0,39,39,0
196,27,4,23846,15,9,4,14,1,4,1,44,39,0
197,25,5,20474,14,14,2,10,5,4,0,49,39,1
198,2,4,26022,11,8,4,7,1,4,0,39,39,0
199,10,4,8429,11,8,2,6,0,4,1,39,39,1
200,34,2,13010,15,9,2,11,0,4,1,39,39,1
201,11,5,9377,9,12,2,4,0,4,1,49,39,0
202,40,4,241,9,12,0,3,1,4,1,44,39,0
203,28,2,14571,9,12,0,10,4,4,0,39,39,0
204,33,4,13035,8,10,2,10,0,4,1,39,39,1
205,17,5,979,9,12,2,12,0,4,1,53,39,0
206,28,4,27286,5,3,2,3,0,2,1,39,39,0
207,56,2,9494,11,8,2,4,0,4,1,19,39,0
208,17,4,26079,9,12,2,10,5,4,0,49,39,1
209,14,4,20180,15,9,2,12,0,4,1,54,39,1
210,2,4,2179,1,6,4,12,1,4,1,11,39,0
211,8,4,411,15,9,4,8,3,4,0,49,39,0
212,21,1,18117,8,10,0,3,4,4,0,39,39,0
213,22,4,83,9,12,2,14,0,4,1,39,39,0
214,6,4,13833,9,12,4,13,3,2,0,31,39,0
215,32,4,1169,11,8,2,7,0,4,1,39,39,0
216,16,1,8936,11,8,4,8,1,4,1,31,39,0
217,4,4,27719,4,2,4,7,2,4,1,37,26,0
218,14,4,18837,8,10,5,3,1,4,1,39,39,0
219,6,4,1489,9,12,4,4,1,4,0,44,39,0
220,17,4,11415,9,12,2,1,0,1,1,39,30,0
221,8,4,3471,11,8,4,7,1,1,0,39,30,0
222,22,4,23067,11,8,4,3,4,4,1,39,39,0
223,35,5,24362,11,8,2,12,0,4,1,39,39,1
224,46,2,2829,6,4,2,14,0,4,1,39,39,1
225,24,4,22759,15,9,2,3,0,4,1,39,39,0
226,29,4,24404,9,12,2,10,0,4,1,37,39,1
227,36,2,12326,11,8,2,4,0,4,1,39,39,0
228,8,0,22373,6,4,5,0,1,4,0,39,39,0
229,60,0,12718,15,9,2,0,0,4,1,34,39,0
230,1,4,4737,2,7,4,9,3,4,1,39,39,0
231,21,4,20267,14,14,2,10,0,4,1,49,39,0
232,38,4,7255,12,13,4,4,4,1,0,49,37,0
233,17,4,20180,11,8,2,13,0,4,1,39,39,1
234,63,6,16758,11,8,2,8,0,4,1,29,39,0
235,17,4,9865,8,10,0,13,4,4,0,59,39,0
236,35,4,10368,15,9,2,13,0,4,1,39,39,0
237,25,4,19449,11,8,4,8,4,2,0,27,14,0
238,9,4,26228,15,9,4,12,1,4,0,39,39,0
239,14,4,5406,11,8,2,14,0,4,1,39,39,0
240,8,2,22981,11,8,4,8,3,4,0,34,39,0
241,38,6,5598,11,8,2,3,0,4,1,59,39,0
242,2,4,19628,15,9,4,8,3,4,0,11,39,0
243,45,6,13427,15,9,2,14,0,4,1,31,39,0
244,5,1,5518,15,9,4,1,3,4,0,19,39,0
245,22,0,6177,11,8,2,0,5,4,0,49,39,0
246,18,4,9489,11,8,2,6,0,4,1,39,39,0
247,11,4,5816,11,8,2,12,3,4,0,39,39,0
248,30,4,18081,11,8,2,14,0,4,1,69,39,1
249,27,7,9021,11,8,2,7,0,4,1,39,39,0
250,4,4,5047,15,9,4,12,3,4,1,14,39,0
251,18,4,17078,8,10,4,3,1,4,1,49,39,0
252,7,4,24482,9,12,2,10,0,4,1,39,39,1
253,25,1,13496,9,12,4,10,1,4,1,39,0,0
254,11,4,15765,9,12,4,13,3,4,1,49,39,0
255,4,4,21189,15,9,4,7,2,4,1,34,39,0
256,45,1,2466,15,9,0,13,1,2,1,39,39,0
257,22,4,23002,11,8,4,8,1,2,0,39,39,0
258,13,7,21794,11,8,4,8,1,4,1,39,39,0
259,55,6,20704,14,14,4,10,1,4,1,19,39,0
260,33,4,6123,15,9,2,4,5,4,0,49,39,0
261,11,2,8675,12,13,4,10,1,4,1,39,39,0
262,12,4,5077,15,9,4,10,1,4,0,39,39,0
263,9,4,8420,9,12,4,1,3,4,0,39,39,0
264,10,4,6847,12,13,4,4,1,4,0,39,39,0
265,12,4,21446,15,9,2,6,0,4,1,39,39,1
266,44,0,16035,11,8,2,0,0,4,1,39,39,0
267,12,4,25559,0,5,2,3,0,4,1,24,39,0
268,4,0,2830,15,9,4,0,3,4,0,29,39,0
269,14,4,12247,1,6,2,12,5,4,0,19,39,0
270,8,4,13391,11,8,2,4,0,4,1,73,39,0
271,41,4,2818,0,5,2,14,0,4,1,39,39,1
272,47,4,7168,15,9,2,4,5,4,0,39,39,1
273,29,7,10069,12,13,4,4,1,4,1,37,39,0
274,36,0,20260,11,8,2,0,0,4,1,34,39,1
275,2,4,5705,11,8,4,8,3,0,0,34,39,0
276,25,4,19299,11,8,0,8,1,2,1,51,39,0
277,1,4,18819,1,6,4,6,3,4,1,23,39,0
278,41,5,17109,9,12,2,3,0,4,1,49,39,1
279,3,4,25758,15,9,4,11,1,2,1,59,39,0
280,18,1,27321,11,8,2,3,0,4,1,39,39,1
281,15,4,12908,11,8,2,6,0,4,1,37,39,1
282,6,4,9746,11,8,4,6,1,4,0,24,39,0
283,14,4,20550,15,9,0,13,4,4,0,39,39,0
284,16,4,22055,9,12,2,12,0,2,1,54,39,0
285,24,4,12526,15,9,4,7,1,4,0,47,39,0
286,5,4,13560,11,8,4,7,3,2,1,39,39,0
287,29,4,10935,15,9,2,11,0,4,1,39,39,1
288,44,1,28121,15,9,2,14,0,2,1,39,39,0
289,13,4,23727,11,8,4,4,1,2,1,39,39,0
290,25,4,12571,11,8,2,4,0,4,1,54,39,1
291,46,4,18203,0,5,2,6,0,4,1,39,39,0
292,9,4,12674,15,9,2,12,0,4,1,39,39,0
293,25,4,15981,0,5,0,1,4,4,0,39,39,0
294,6,4,24608,15,9,2,8,0,4,1,39,39,0
295,8,4,20121,11,8,4,7,4,4,1,39,39,0
296,13,4,20152,6,4,2,8,0,4,1,31,8,1
297,6,4,24673,11,8,4,12,3,4,1,39,39,0
298,17,6,11591,8,10,4,5,1,4,1,59,39,1
299,13,4,20284,11,8,2,7,2,4,1,47,39,0
300,22,4,25094,15,9,2,3,0,4,1,39,39,1
301,13,4,12273,1,6,4,6,2,4,1,37,33,0
302,21,2,969,15,9,0,1,4,4,0,37,39,0
303,9,4,4843,11,8,0,4,3,4,0,39,39,0
304,3,4,6098,15,9,4,6,3,4,1,15,39,0
305,20,2,21963,9,12,4,10,4,2,1,39,0,0
306,16,4,9892,11,8,2,1,3,4,0,39,39,0
307,7,4,19109,9,12,4,1,3,4,1,39,39,0
308,25,5,18075,9,12,2,4,0,4,1,59,39,1
309,34,6,8822,11,8,2,12,0,1,1,81,40,0
310,39,2,1262,7,11,2,13,0,4,1,44,39,1
311,5,4,16214,15,9,4,6,3,4,1,39,39,0
312,35,6,14168,15,9,2,5,0,4,1,59,39,0
313,27,4,14422,9,12,0,4,4,4,0,44,39,1
314,17,4,9687,11,8,2,1,5,4,0,34,39,0
315,34,4,1542,15,9,0,3,1,4,1,41,39,1
316,3,0,24687,15,9,4,0,1,4,1,39,39,0
317,2,4,26036,15,9,4,12,1,4,0,24,39,0
318,20,4,4905,9,12,2,4,0,4,1,39,39,1
319,51,4,21598,11,8,2,7,0,2,1,39,39,1
320,5,4,5276,15,9,0,11,1,4,1,39,39,0
321,39,5,12408,9,12,2,4,0,4,1,39,39,0
322,20,4,20672,11,8,2,3,0,4,1,39,39,0
323,35,4,2341,3,1,2,7,0,4,1,39,26,0
324,9,4,20994,11,8,5,6,3,4,1,39,33,0
325,16,4,4609,12,13,2,10,0,4,1,49,39,0
326,28,2,2232,12,13,0,10,4,4,0,41,39,0
327,1,4,11298,1,6,4,8,3,4,1,14,39,0
328,26,6,26860,15,9,2,5,0,4,1,59,39,1
329,47,6,3155,10,15,2,10,0,4,1,49,0,1
330,1,4,19462,11,8,4,6,3,4,1,19,39,0
331,3,0,24008,15,9,4,0,3,4,1,44,39,0
332,40,4,3489,11,8,2,3,0,4,1,39,39,1
333,24,4,21072,11,8,0,1,4,4,0,41,39,0
334,17,4,4036,12,13,2,4,0,4,1,49,39,1
335,2,4,24071,11,8,4,12,4,4,0,39,39,0
336,27,4,16089,6,4,0,8,4,4,0,54,6,0
337,39,4,16318,0,5,6,8,4,4,0,39,39,0
338,19,5,1818,11,8,2,5,0,4,1,78,39,0
339,31,4,21333,9,12,0,4,4,4,0,47,39,0
340,12,4,1313,11,8,2,14,0,4,1,39,39,1
341,16,4,2379,9,12,4,3,1,4,1,39,39,0
342,14,4,13683,4,2,2,8,0,4,1,39,26,0
343,22,4,21277,12,13,2,10,0,4,1,44,39,1
344,49,4,22698,11,8,2,4,0,4,1,39,39,1
345,10,4,5746,9,12,4,10,1,4,0,49,39,1
346,22,4,16426,11,8,0,4,4,2,0,39,39,1
347,42,4,5835,5,3,2,3,0,4,1,49,39,1
348,9,4,14023,11,8,4,8,3,4,0,39,39,0
349,14,4,5681,8,10,0,3,4,4,1,39,39,0
350,28,0,24735,11,8,6,0,4,4,0,39,26,0
351,6,4,16335,11,8,4,6,3,4,1,29,39,0
352,19,2,12815,11,8,0,1,4,4,0,39,39,0
353,17,4,17514,15,9,2,8,5,4,0,11,39,1
354,15,4,19124,11,8,2,14,0,4,1,81,39,1
355,20,4,7609,9,12,2,10,0,2,1,49,39,1
356,16,4,4246,9,12,4,12,1,4,1,44,39,0
357,33,6,11736,14,14,2,10,0,4,1,78,39,1
358,15,1,10096,7,11,4,11,1,2,1,39,39,0
359,18,4,21092,9,12,4,1,3,2,0,39,39,0
360,20,4,10133,1,6,2,3,0,4,1,39,39,0
361,27,4,23563,15,9,0,3,1,4,1,59,39,0
362,40,4,1968,15,9,0,6,2,4,1,24,39,0
363,12,2,27067,15,9,2,4,3,4,0,39,39,0
364,38,4,16246,11,8,2,3,0,4,1,49,39,1
365,26,5,17730,14,14,2,10,0,4,1,24,39,1
366,26,4,2117,15,9,2,12,0,4,1,69,39,0
367,28,6,26048,15,9,2,12,0,4,1,59,39,1
368,16,6,1831,12,13,2,10,5,4,0,7,39,0
369,9,4,15341,0,5,0,8,4,4,0,39,11,0
370,6,4,22825,15,9,2,12,0,4,1,67,39,0
371,24,4,17028,5,3,5,3,1,4,1,39,26,0
372,7,4,22865,11,8,2,3,0,4,1,39,39,0
373,30,6,15855,9,12,2,12,0,4,1,43,39,0
374,17,6,16452,11,8,4,3,3,4,1,44,39,0
375,23,4,14817,11,8,2,4,0,4,1,39,39,1
376,11,4,24001,9,12,2,10,5,1,0,39,39,0
377,7,4,10626,11,8,4,4,3,1,0,39,35,0
378,56,0,3240,15,9,2,0,0,4,1,9,39,0
379,6,4,5086,11,8,4,3,2,4,1,14,39,0
380,26,6,7889,11,8,2,4,0,2,1,39,39,1
381,9,4,9360,9,12,0,13,1,4,0,39,39,0
382,41,6,6354,10,15,1,4,5,4,0,34,39,1
383,35,4,19207,11,8,6,1,4,2,0,34,39,0
384,12,4,17902,1,6,2,14,0,4,1,95,39,1
385,30,4,16727,1,6,2,8,0,4,1,34,4,0
386,32,4,18802,11,8,0,1,4,2,0,36,39,0
387,23,4,17820,1,6,6,1,4,4,0,39,39,0
388,45,6,26415,11,8,2,1,5,4,0,39,39,0
389,32,4,333,11,8,2,4,0,4,1,54,39,1
390,33,4,8980,9,12,0,10,2,4,0,49,39,1
391,14,4,19108,11,8,4,14,3,2,1,39,39,0
392,31,2,15050,12,13,4,10,1,4,0,49,39,0
393,7,4,14311,11,8,4,3,4,4,0,39,39,0
394,24,0,10648,11,8,4,0,3,4,0,39,39,0
395,20,4,3573,11,8,5,7,3,1,1,59,39,0
396,28,4,26039,9,12,2,4,0,1,1,44,24,1
397,46,0,10758,11,8,2,0,0,4,1,15,39,0
398,19,4,6841,12,13,2,4,0,1,1,44,19,0
399,28,4,2551,9,12,2,4,0,4,1,39,39,0
400,24,4,9040,9,12,4,12,1,4,0,39,39,0
401,9,4,14610,7,11,4,13,2,4,0,19,39,0
402,0,4,1387,1,6,4,12,3,4,0,24,39,0
403,10,4,28067,11,8,2,8,0,4,1,35,0,0
404,26,4,2058,11,8,2,7,0,4,1,64,39,0
405,18,4,13693,11,8,4,14,3,4,1,54,39,0
406,21,4,26308,9,12,0,1,4,4,0,39,39,0
407,9,4,23141,11,8,4,7,1,4,1,39,39,0
408,11,4,17222,15,9,4,4,3,4,0,39,39,0
409,21,4,22505,9,12,2,10,5,4,0,23,39,1
410,19,4,13054,1,6,0,14,4,4,0,39,39,0
411,16,4,7167,11,8,2,1,5,4,0,39,39,1
412,2,4,11655,11,8,4,6,3,4,1,69,39,0
413,5,0,18122,7,11,4,0,3,4,1,24,39,0
414,25,1,2331,0,5,2,1,0,4,1,39,26,0
415,33,4,22930,0,5,2,14,0,4,1,39,39,1
416,13,4,27712,11,8,2,6,0,4,1,29,39,0
417,20,7,2907,15,9,2,10,2,1,1,39,1,0
418,37,5,11076,14,14,2,10,0,4,1,39,39,1
419,35,5,12183,9,12,4,4,1,4,1,39,39,0
420,48,4,4096,3,1,2,6,0,3,1,39,0,0
421,16,4,10176,11,8,0,3,1,4,0,39,39,0
422,8,4,7566,15,9,4,13,2,4,1,39,39,0
423,7,4,23969,9,12,4,12,1,4,1,44,39,0
424,9,4,17874,8,10,5,1,4,2,0,39,39,0
425,22,4,13378,11,8,5,1,1,4,1,39,39,1
426,42,4,6562,11,8,0,8,1,4,0,39,39,0
427,12,4,4755,15,9,4,1,4,4,0,39,39,0
428,30,4,5504,1,6,4,8,3,4,0,44,39,0
429,6,0,15508,15,9,4,0,3,4,0,34,39,0
430,47,5,6803,11,8,2,14,0,4,1,49,39,0
431,4,4,9877,11,8,4,8,3,3,1,19,39,0
432,15,4,14549,15,9,2,1,5,2,0,39,39,1
433,9,4,28330,11,8,4,4,1,2,0,36,39,0
434,2,0,1996,15,9,4,0,3,2,0,19,39,0
435,45,6,3133,12,13,2,10,0,4,1,39,39,0
436,15,4,14350,9,12,2,3,0,4,1,54,39,1
437,58,0,231,0,5,3,0,1,4,0,4,39,0
438,28,6,16169,11,8,2,4,0,4,1,59,39,0
439,14,4,11226,9,12,2,4,0,4,1,49,39,1
440,15,4,2814,11,8,2,1,0,4,1,39,39,0
441,7,4,5276,9,12,2,12,0,4,1,39,39,0
442,8,4,16179,9,12,4,12,3,4,0,39,39,0
443,24,6,19867,11,8,2,4,0,4,1,59,39,0
444,1,4,1513,15,9,4,12,3,4,0,19,39,0
445,27,4,7061,10,15,2,10,0,4,1,54,39,1
446,23,4,12272,15,9,2,4,0,4,1,49,39,0
447,10,4,4572,9,12,4,10,1,4,1,39,39,0
448,6,4,11281,9,12,4,1,3,4,1,39,39,0
449,4,4,25677,15,9,4,1,1,3,1,39,39,0
450,20,7,6273,11,8,2,14,0,4,1,39,39,0
451,48,6,13621,11,8,2,5,0,4,1,47,39,0
452,26,1,10873,12,13,2,10,0,4,1,39,39,1
453,28,4,10709,11,8,4,1,1,4,1,43,39,0
454,7,7,24830,9,12,4,4,1,4,0,39,39,0
455,7,4,17614,15,9,4,7,1,4,1,41,39,0
456,2,2,19029,15,9,4,11,3,4,1,34,39,0
457,20,4,29,9,12,2,10,0,4,1,64,39,1
458,7,4,7741,11,8,4,1,3,4,0,34,39,0
459,17,4,6498,15,9,2,7,0,4,1,39,11,0
460,33,7,16175,11,8,2,8,5,4,0,38,39,0
461,19,4,12130,11,8,2,3,0,4,1,39,33,0
462,22,4,17266,9,12,2,12,0,4,1,59,39,0
463,27,6,4908,5,3,2,3,0,4,1,37,39,0
464,28,7,19304,11,8,2,8,0,4,1,39,39,0
465,15,7,27957,1,6,4,11,3,4,1,39,39,0
466,30,1,27903,12,13,2,4,0,2,1,39,39,1
467,33,4,1623,11,8,2,7,0,4,1,39,39,0
468,15,4,789,8,10,2,8,0,4,1,39,39,0
469,2,4,22036,11,8,4,6,3,4,1,39,39,0
470,2,0,1767,15,9,4,0,3,4,0,19,39,0
471,11,7,23597,12,13,0,10,1,4,1,9,0,0
472,11,4,15678,11,8,0,12,2,4,1,49,39,0
473,22,1,10072,12,13,4,10,1,4,1,39,31,1
474,4,4,8157,15,9,4,8,1,4,1,39,39,0
475,56,6,10254,15,9,6,5,1,4,0,73,39,0
476,22,4,4918,5,3,2,8,0,4,1,39,26,0
477,8,4,20329,15,9,4,7,1,4,1,39,39,0
478,14,4,8956,15,9,1,12,5,4,0,19,39,0
